Job Code Major ID,Job Code Major Name,Job Code Major Description,Is Active,Created By Contact ID,Created Date Time,Modified By Contact ID,Modified Date Time
1,01,"AIR CONDITION, HEAT",,1,23/06/2008 12:00:00 AM,1465,10/10/2022 9:41:36 AM
2,02,CAB/SHEET METALS,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:20 PM
3,03,"INSTRUMENTS, GAUGES",,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:18 PM
4,04,AERODYNAMIC DEVICES,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:48 PM
6,12,"AXLES, REAR NON DRIV",,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:16 PM
7,13,BRAKES,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:13 PM
8,14,FRAME,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:50 PM
10,16,SUSPENSION,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:11 PM
11,17,"TIRES, TUBES, LINERS",,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:52 PM
12,18,"WHEELS, RIMS, HUBS, BRG",,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:08 PM
14,21,AXLE DRVN FRNT STEER,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:06 PM
15,22,AXLE DRVN REAR,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:54 PM
16,23,CLUTCH,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:04 PM
17,24,DRIVE SHAFT,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:38:00 PM
18,25,TRANSFER CASE,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:02 PM
19,26,TRANSMISSION MANUAL,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:58 PM
20,27,TRANSMISSION AUTOMATIC,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:56 PM
21,28,AUXILIARY TRANSMISSION,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:37:48 PM
22,31,CHARGING SYSTEM,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:55 PM
23,32,CRANKING SYSTEM,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:36:58 PM
24,33,IGNITION SYSTEM,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:54 PM
25,34,LIGHTING SYSTEM,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:38:10 PM
26,41,AIR INTAKE SYSTEM,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:50 PM
27,42,COOLING SYSTEM,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:37:00 PM
28,43,EXHAUST SYSTEM,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:48 PM
29,44,FUEL SYSTEM,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:37:52 PM
30,45,POWER PLANT,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:46 PM
31,46,ELECTRIC PROPULSION,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:37:01 PM
32,51,GENERAL ACCESSORIES,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:44 PM
33,52,ELECTRICAL  ACCESSORIES,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:38:03 PM
34,53,EXPENDABLE ITEMS,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:42 PM
35,54,HORN AND MOUNTING,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:37:06 PM
36,55,"CARGO HANDLING, LIFT",,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:39 PM
37,56,POWER TAKE OFF,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:38:14 PM
38,57,SPARE WHEEL MOUNTING,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:37 PM
39,58,WINCHES,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:37:07 PM
40,59,VEHICLE COUPLING SYS,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:24 PM
41,65,HYDRAULIC SYSTEMS,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:38:18 PM
42,66,PREVENTIVE MAINTENANCE,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:34 PM
43,71,BODY,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:17 PM
44,72,REAR DOOR,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:12 PM
45,73,TANK VESSEL INNER,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:37:09 PM
46,74,TANK VESSEL OUTER,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:11 PM
47,75,MANHOLES,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:38:22 PM
48,76,RINGS AND BOLSTERS,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:08 PM
49,77,TRAILER FRAME/SUPPORT,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:37:11 PM
50,78,TRIM AND MISC.  HRDWR,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:06 PM
51,79,SAFETY DEVICES,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:38:28 PM
52,81,HEATING UNIT,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:03 PM
53,82,REFRIG.  MECHANICAL,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:37:13 PM
54,83,REGRIG. NITROGEN,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:35:01 PM
55,84,REFRIG. COLD PLATE,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:38:31 PM
56,91,BLOWER,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:34:59 PM
57,92,COMPRESSOR,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:37:16 PM
58,93,ENGINE (AUXILARY),,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:34:58 PM
59,94,LINES,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:38:37 PM
60,95,MANIFOLD,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:34:56 PM
61,96,POWERSHAFT,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:37:17 PM
62,97,PUMP,,1,23/06/2008 12:00:00 AM,1452,27/08/2022 2:34:55 PM
63,98 Valve,VALVES - REGULAR,,1,23/06/2008 12:00:00 AM,1460,19/12/2022 2:01:29 PM
64,100 Scaff,Maintenance Scaffolding,,1452,27/08/2022 2:29:14 PM,1,30/08/2022 6:08:57 PM
65,101 Insul,Maintenance Insulation,,1452,27/08/2022 2:29:22 PM,1,30/08/2022 6:09:03 PM
66,102 Weld,Maintenance Welding,,1452,27/08/2022 2:29:42 PM,1,30/08/2022 6:09:08 PM
67,103 NDE,NDE & Inspection Services,,1452,27/08/2022 2:29:46 PM,1,30/08/2022 6:09:13 PM
68,104 Rota Serv,Maintenance Rotating Services,,1452,27/08/2022 2:29:57 PM,1,30/08/2022 6:09:28 PM
69,105 Elec Spares,Electrical Spares,,1452,27/08/2022 2:30:08 PM,1,30/08/2022 6:09:35 PM
70,106 ICS Spares,Control System Spares,,1452,27/08/2022 2:30:23 PM,1,30/08/2022 6:09:42 PM
71,107 Instr Spare,Instrument Spares,,1452,27/08/2022 2:30:27 PM,1,30/08/2022 6:09:49 PM
72,108 Analy Spare,Analyser Spares,,1452,27/08/2022 2:30:43 PM,1,30/08/2022 6:09:58 PM
73,109 Rota Spares,Mechanical Rotating Spares,,1452,27/08/2022 2:30:49 PM,1,30/08/2022 6:10:06 PM
74,110 Refrac Serv,Refractory Services,,1452,27/08/2022 2:31:24 PM,1,30/08/2022 6:10:21 PM
75, 111 Elec Serv,Electrical Services,,1452,27/08/2022 2:31:32 PM,1,30/08/2022 6:10:33 PM
76,112 Static Serv,Mechanical Services,,1452,27/08/2022 2:31:41 PM,1,30/08/2022 6:10:49 PM
77,113 Equip Hire,Equipment Hiring Services,,1452,27/08/2022 2:31:54 PM,1,30/08/2022 6:10:56 PM
78,114 Stat Spar,Mechanical Static spares,,1452,27/08/2022 2:32:04 PM,1,30/08/2022 6:11:25 PM
79,115 Instr Servi,Instrumentation Services,,1452,27/08/2022 2:32:18 PM,1,30/08/2022 6:12:51 PM
80,116 Civil Serc,Maintenance Civil Services,,1452,27/08/2022 2:32:27 PM,1,30/08/2022 6:13:33 PM
81,117 Gen Mtce Ma,General Maintenance Material,,1452,27/08/2022 2:32:44 PM,1,30/08/2022 6:18:51 PM
82,118 Mtce Ad/Ser,Maintenance Additional Services,,1452,27/08/2022 2:32:55 PM,1,30/08/2022 6:19:12 PM
83,119 MOC,Smaller Modifications,,1452,27/08/2022 2:33:05 PM,1,30/08/2022 6:19:18 PM
84, 120 Special,Extraordinary Maintenance,,1452,27/08/2022 2:33:19 PM,1,30/08/2022 6:19:37 PM
85,121 Shutdown,Plant Shutdown Costs,,1452,27/08/2022 2:33:30 PM,1,30/08/2022 6:19:45 PM
86,122 Build Mtce,Maintenance Buildings - Infrastructure,,1452,27/08/2022 2:33:45 PM,1,30/08/2022 6:19:57 PM
87,123 Mtce Ad/Spa,Maintenance Additional Spares,,1452,27/08/2022 2:34:01 PM,1,30/08/2022 6:20:07 PM
88,124 Mtce Servic,Maintenance service-contracts,,1452,27/08/2022 2:34:16 PM,1,30/08/2022 6:20:18 PM
89,125 Vehicle Mtc,Vehicle Maintenance,,1452,27/08/2022 2:34:28 PM,1,30/08/2022 6:20:25 PM
90,126 Non Plant,Non-Operating Plant Area Services,,1452,27/08/2022 2:34:37 PM,1,30/08/2022 6:20:40 PM
92,127 Stem Trac,Piping (Steam tracing),,1465,28/09/2022 3:23:32 PM,1460,19/12/2022 2:01:45 PM
93,128 Jet Wash,Jet Wash Cleaning,,1465,5/10/2022 1:09:58 PM,1465,5/10/2022 1:10:27 PM
94,129 HVAC,Heating Ventilation Air Condition,,1465,10/10/2022 9:41:46 AM,1465,10/10/2022 9:43:03 AM
95,130 Analy Serv,Analyser Services,,1465,11/10/2022 9:20:11 AM,1465,11/10/2022 9:20:46 AM
96,131 PPE,Personal Protective Equipment,,1465,17/11/2022 8:34:23 AM,1465,17/11/2022 8:34:57 AM
97,132 Automation,ICSS/DCS/SIS/UCP/MMS/MES/FGS/FDM/BMS/ALMS,,1460,14/01/2023 6:23:34 PM,1460,14/01/2023 6:25:51 PM
98,133 Mat Reserv,Material Reservation,,689,11/04/2023 10:45:46 AM,1452,9/08/2023 10:22:28 AM
99,300 OPS Chem,Operation Chemicals,,1452,10/08/2023 8:54:33 AM,1452,10/08/2023 8:56:01 AM
100,400 VEH/Spare,Vehicle and Spares,,1452,10/08/2023 8:56:01 AM,1687,4/10/2023 1:52:24 PM
